property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P676,lyrics by,author of song lyrics,"fictional musical work, printed sheet music, musical work, song book, album, single, film","human, special purpose artist"
http://www.wikidata.org/entity/P697,ex taxon author,"person(s) whom the author(s) of a name credited for the idea, followed in an author citation by ""ex"" (via P405)",taxon,human
http://www.wikidata.org/entity/P725,voice actor,"performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use ""character role"" (P453) as qualifier] [use ""cast member"" (P161) for live acting]","group of video games, dubbing of television series episode, fictional gang, dubbing of film, voice bank, audiovisual work, musical release, radio program, amusement ride, audiobook, fictional character, film series, video game, film, television program",human
http://www.wikidata.org/entity/P551,residence,"the place where the person is or has been, resident","group of humans, human whose existence is disputed, human biblical figure, captive animal, academic institution, mythical character, group of fictional characters, legendary figure, domesticated animal, fictional character, animal, human","house, building, geographic region, nursing home, residence, geographic location, architectural ensemble, mythical location, fictional location"
http://www.wikidata.org/entity/P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work","livestreamed video, fictional film, video recording, television series episode, video artwork, video album, animated series, film series, television program, film","human, sibling group, fictional human, duo, sibling duo"
http://www.wikidata.org/entity/P371,presenter,main role in presenting a radio or television program or a performing arts show,"YouTube channel, occurrence, work","human, video game character, animated character, fictional human, television character"
http://www.wikidata.org/entity/P287,designed by,person(s) or organization which designed the object,"fictional artificial entity, artificial object, symbol mark, product model, group of works, logo","human, research institute, organization, fictional character, team, fictional organization, business, group of humans, occupation"
http://www.wikidata.org/entity/P286,head coach,"on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person","fictional sports club, fictional sports team, sports team, sports governing body, sports club, sports season of a sports club","human, fictional character"
http://www.wikidata.org/entity/P634,team captain,captain of this sports team,"fictional sports team, sports team, sports season of a sports club","human, fictional human"
http://www.wikidata.org/entity/P655,translator,agent who adapts any kind of written text from one language to another,"musical work/composition, written work, revoiced work, translated song, lyrical text translated using paraphrasing, historical source, literary work, version, edition or translation, text, radio drama, article, drama, video game, human","human, organization, community"
